67,-23,1030
52,-23,1030
52,-23,1030
67,-23,1015
67,-23,1030
67,-23,1030
67,-23,1030
67,-23,1030
67,-8,1030
67,-8,1030
67,-8,1030
67,-8,1030
67,-23,1030
67,-23,1030
67,-8,1030
67,-23,1030
52,-23,1030
67,-23,1030
67,-23,1015
52,-23,1030
67,-23,1030
52,-23,1030
67,-23,1030
52,-8,1030
67,-23,1030
67,-23,1030
52,-23,1030
52,-23,1030
52,-23,1030
67,-23,1030
52,-23,1030
67,-23,1030
52,-23,1015
67,-23,1030
52,-23,1030
67,-23,1030
67,-23,1030
52,-23,1030
67,-23,1030
67,-23,1030
52,-23,1030
52,-8,1030
67,-23,1030
67,-23,1030
67,-23,1030
52,-23,1030
52,-23,1030
67,-23,1030
52,-23,1030
52,-23,1015
52,-23,1030
67,-23,1030
52,-8,1030
37,67,1030
97,-38,1000
52,-68,1030
37,-8,1030
112,-68,1045
67,-23,1030
82,-23,1030
67,-23,1030
67,7,1045
67,67,1135
52,112,1105
112,-23,1135
157,22,1150
112,7,1180
142,-53,1255
172,-68,1225
112,-128,1225
97,-128,1240
97,-158,1210
127,-113,1165
157,-83,1045
127,-128,1030
97,-204,1075
112,-279,1015
67,-339,909
22,-399,864
37,-414,864
67,-369,849
67,-399,819
37,-489,819
22,-504,864
22,-459,909
37,-384,894
37,-339,864
67,-324,834
37,-324,849
37,-279,834
67,-173,804
97,-68,879
112,-23,1015
142,52,1090
142,82,1045
142,67,969
127,52,939
112,52,924
127,67,1000
127,112,1045
142,142,1090
127,187,1150
142,187,1255
157,218,1255
172,293,1240
187,308,1180
187,293,1045
187,308,1000
203,368,1105
233,458,1225
263,533,1210
278,578,1180
293,624,1165
308,654,1120
323,714,1075
353,729,1030
338,774,1000
353,729,1000
308,669,1045
278,593,1075
308,639,1060
308,684,1015
323,669,1045
293,563,1030
263,473,1030
218,383,1135
233,263,1330
248,142,1330
338,7,1240
383,-279,1105
248,-655,1015
127,-640,1090
97,-625,1255
82,-640,1345
52,-880,1360
-8,-1045,1240
-143,-985,984
-143,-730,939
-98,-564,864
7,-474,669
82,-489,518
67,-489,503
97,-339,654
172,-143,834
187,-143,969
142,-204,1075
67,-204,1150
52,-188,1090
52,-219,1045
22,-354,1030
-8,-489,939
-23,-534,834
-23,-594,789
7,-670,804
67,-745,804
67,-760,864
97,-700,1030
157,-700,1165
218,-685,1120
293,-655,1000
323,-610,1045
278,-564,1240
233,-625,1406
233,-715,1225
157,-775,894
187,-700,714
82,-715,774
37,-594,894
112,-324,969
112,-143,1165
52,-68,1270
37,22,1180
67,-8,1000
97,157,909
233,473,984
323,774,1240
383,789,1556
458,909,1466
428,909,1406
383,954,1421
503,984,1451
82,789,1255
248,714,1255
398,353,1240
233,248,1075
203,172,969
187,278,954
82,203,939
37,172,924
52,142,879
127,157,909
112,142,969
112,82,1030
112,82,1060
97,97,1060
